FRAME
HipCenter, Tracked, -0.3660026, -0.02849766, 3.048385
Spine, Tracked, -0.3690064, 0.0371407, 3.039266
ShoulderCenter, Tracked, -0.3838581, 0.3650221, 3.007963
Head, Tracked, -0.3563295, 0.5500805, 2.960094
ShoulderLeft, Tracked, -0.5299968, 0.2537701, 2.960232
ElbowLeft, Tracked, -0.6376207, 0.05534606, 2.936697
WristLeft, Tracked, -0.5437549, -0.1213766, 2.889476
HandLeft, Tracked, -0.4619902, -0.1329052, 2.874443
ShoulderRight, Tracked, -0.2215492, 0.2661311, 3.104782
ElbowRight, Tracked, -0.1480553, 0.001532406, 3.086793
WristRight, Tracked, 0.0849942, -0.05861674, 3.001224
HandRight, Tracked, 0.1546719, -0.03838813, 2.985412
HipLeft, Tracked, -0.4305213, -0.1022761, 3.026749
KneeLeft, Tracked, -0.5045138, -0.5557185, 2.960211
AnkleLeft, Tracked, -0.5287879, -0.9483339, 3.06661
FootLeft, Tracked, -0.4959524, -1.048356, 3.04075
HipRight, Tracked, -0.294676, -0.1033259, 3.080255
KneeRight, Tracked, -0.1266045, -0.6077634, 3.002427
AnkleRight, Tracked, -0.08156784, -1.019693, 2.99507
FootRight, Tracked, -0.01611622, -1.103801, 3.0149
FRAME
HipCenter, Tracked, -0.3689251, -0.03771853, 3.051308
Spine, Tracked, -0.3715995, 0.02738253, 3.042279
ShoulderCenter, Tracked, -0.3844292, 0.3523128, 3.011706
Head, Tracked, -0.3600378, 0.5438997, 2.959456
ShoulderLeft, Tracked, -0.5330111, 0.242985, 2.96219
ElbowLeft, Tracked, -0.6472085, 0.03871977, 2.947393
WristLeft, Tracked, -0.4897151, -0.12003, 2.877179
HandLeft, Tracked, -0.4075889, -0.1270295, 2.860896
ShoulderRight, Tracked, -0.2243907, 0.2587288, 3.106232
ElbowRight, Tracked, -0.1511596, -0.006198943, 3.087527
WristRight, Tracked, 0.08373369, -0.06058515, 2.995715
HandRight, Tracked, 0.1510428, -0.04049989, 2.98189
HipLeft, Tracked, -0.4335142, -0.1121909, 3.029819
KneeLeft, Tracked, -0.5040516, -0.5552595, 2.95933
AnkleLeft, Tracked, -0.5288106, -0.9484248, 3.066477
FootLeft, Tracked, -0.491004, -0.9913893, 2.991523
HipRight, Tracked, -0.2986128, -0.112584, 3.08321
KneeRight, Tracked, -0.1192756, -0.6072581, 3.002898
AnkleRight, Tracked, -0.07942081, -1.020583, 2.993804
FootRight, Tracked, -0.04161428, -1.063548, 2.91885
FRAME
HipCenter, Tracked, -0.3708542, -0.04777934, 3.052778
Spine, Tracked, -0.3738706, 0.01637116, 3.043396
